hour,Mon,Tue,Wed,Thu,Fri,Sat,Sun
0,0.310,0.360,0.560,0.405,0.427,0.444,0.362
1,0.133,0.279,0.226,0.253,0.224,0.189,0.214
2,0.085,0.129,0.159,0.157,0.185,0.058,0.066
3,0.023,0.075,0.073,0.059,0.115,0.094,0.100
4,0.043,0.068,0.112,0.113,0.102,0.104,0.081
5,0.093,0.173,0.185,0.148,0.234,0.127,0.070
6,0.401,0.414,0.393,0.450,0.405,0.195,0.182
7,0.828,0.782,0.660,0.578,0.618,0.554,0.550
8,0.763,0.778,0.831,0.777,0.668,0.634,0.655
9,0.783,0.945,0.857,0.816,0.803,0.574,0.559
10,0.826,0.954,0.952,0.889,0.861,0.589,0.589
11,0.759,1.058,0.935,0.962,0.996,0.607,0.529
12,0.680,0.897,0.774,0.966,0.833,0.580,0.414
13,0.734,0.911,0.832,0.863,0.889,0.449,0.434
14,0.931,1.175,1.142,0.934,0.980,0.603,0.523
15,0.902,1.272,1.148,1.153,1.100,0.687,0.620
16,1.004,1.197,1.128,1.074,1.016,0.650,0.752
17,0.729,0.640,0.815,0.807,0.726,0.782,0.698
18,0.731,0.535,0.680,0.729,0.733,0.810,0.684
19,0.658,0.675,0.528,0.573,0.642,0.709,0.625
20,0.779,0.847,0.558,0.528,0.382,0.560,0.723
21,0.861,1.119,0.823,0.536,0.563,0.565,0.902
22,0.858,0.956,0.696,0.672,0.498,0.654,0.805
23,0.508,0.744,0.581,0.597,0.634,0.467,0.450
