hour,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.335,0.476,0.896,1.445,2.708,1.893,4.039,5.357,3.405,1.592,0.272,1.955,5.594,3.979,0.980,1.055,0.819,7.143,0.307,0.598,5.728,0.880,5.405,7.921,0.855,4.839,4.297,6.048,2.095,2.658,2.793,2.415,2.420,3.659,3.378,2.720,2.110,3.828,2.536,1.749,1.370,2.949,1.603,4.074,2.254,0.000,0.763,0.483,0.658,0.752,0.725,0.685,0.000,1.322,1.515,0.800,0.000,1.681,1.163,0.000,0.000,1.220,0.000,0.000,0.601,0.722,1.695,1.418,0.299,1.498,1.071,0.344,0.515,1.404,1.238,0.739,1.907,1.010,1.814,1.198,3.941,2.331,4.497,3.316,3.509,3.812,2.887,3.540,3.846,2.273,2.265,3.022,2.617,2.872,7.565,9.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.064,4.688,3.944,5.235,2.560,3.226,6.366,2.269,2.752,4.821,4.918,3.172,4.658,3.756,7.420,3.523,2.848,2.656,2.948,3.403,2.723,5.016,2.420,2.370,3.865,5.198,3.107,5.387,2.700,5.041,6.479,1.878,8.296,2.584,1.840,1.794,3.468,3.213,3.021,1.961,2.427,7.741,4.739,2.114,0.824,1.259,2.607,7.104,1.862
1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.894,0.357,0.560,2.102,0.417,0.828,1.253,3.274,0.717,0.265,0.815,8.101,1.748,0.796,0.196,4.749,0.955,2.521,0.000,3.586,0.491,1.408,2.402,1.080,0.000,4.839,0.260,2.672,1.905,2.405,0.838,0.242,0.382,2.265,0.845,0.837,3.797,1.196,0.725,2.915,2.397,0.536,0.641,4.074,0.000,1.667,0.000,0.000,0.000,0.000,0.000,0.685,0.000,0.000,1.010,0.400,0.391,0.840,1.163,0.000,0.000,0.000,0.885,0.000,0.601,1.083,0.282,0.000,0.000,1.498,0.000,0.000,0.000,0.000,0.310,0.000,1.635,0.000,0.907,0.200,0.164,0.466,0.214,0.510,3.509,1.570,0.000,0.177,0.733,0.852,0.174,0.962,0.796,2.027,2.364,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.355,0.391,0.845,1.264,2.048,4.584,5.590,0.810,1.835,2.321,2.396,2.671,2.795,5.052,4.097,1.445,3.967,2.656,0.825,2.741,1.913,3.708,1.742,0.903,1.090,0.619,0.847,1.911,4.258,3.189,3.099,1.174,2.691,0.000,1.380,0.000,1.541,1.406,0.159,1.070,0.485,2.510,0.163,4.651,7.249,1.619,0.186,3.097,0.266
2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.894,0.119,0.784,1.445,0.833,0.947,2.507,0.446,1.434,0.000,1.630,0.559,0.350,2.122,1.569,5.805,3.138,1.050,0.307,0.797,2.291,0.352,1.952,4.320,0.641,2.304,3.255,2.954,2.476,0.506,0.000,0.242,0.637,0.000,0.169,0.000,0.633,0.478,0.000,0.292,0.000,0.268,0.000,0.741,0.000,0.000,0.000,0.483,0.658,0.000,0.000,0.685,0.000,0.881,0.505,0.000,0.000,1.681,0.581,0.000,0.000,0.000,0.000,0.418,0.000,1.444,0.282,0.000,0.299,0.375,0.357,0.000,1.031,0.000,0.000,0.493,1.090,0.000,0.680,0.000,0.000,0.466,0.214,0.000,0.251,0.000,0.000,0.000,0.000,0.284,0.000,0.000,1.138,1.351,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.391,0.282,1.083,0.683,1.188,2.795,1.135,1.376,0.179,1.639,0.835,2.174,0.000,1.772,0.452,1.424,0.204,0.354,1.796,0.883,0.327,0.387,0.000,1.388,0.495,3.672,0.782,2.181,0.926,0.563,0.235,2.466,0.199,0.000,0.000,0.000,1.406,0.000,0.178,0.243,0.209,0.327,0.423,1.483,0.719,0.000,1.821,0.000
3,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.335,0.119,0.896,1.051,1.458,0.947,0.836,0.744,2.509,0.000,3.261,5.028,2.448,0.796,3.137,1.055,3.274,1.050,2.761,0.000,2.619,1.408,1.652,2.160,0.427,2.074,0.521,2.954,2.857,0.000,4.469,0.000,0.127,1.394,0.507,0.418,0.000,0.957,0.000,0.000,0.000,0.000,0.000,0.370,0.205,0.000,0.000,0.000,1.316,1.504,0.000,0.000,0.000,2.643,0.505,0.000,0.000,0.840,0.000,0.000,0.000,0.610,0.442,0.000,0.300,0.000,0.000,0.000,0.299,1.124,0.357,0.000,0.000,0.000,0.000,0.985,1.635,0.606,0.000,0.000,0.000,0.000,0.214,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.242,0.000,0.000,0.324,0.153,0.179,0.252,1.169,0.000,0.000,0.332,0.903,0.916,0.000,0.000,0.189,0.074,0.000,0.000,0.000,0.099,0.743,0.282,0.000,0.104,0.103,0.282,0.469,0.000,0.000,0.000,0.000,0.963,0.402,0.318,0.000,0.485,1.883,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.016,0.000,1.667,2.367,0.557,0.744,1.613,2.918,2.717,1.955,0.350,3.714,4.118,1.319,5.184,4.202,3.988,2.590,2.455,5.282,1.802,1.170,1.496,0.691,3.906,1.688,2.286,0.886,6.425,0.242,0.127,3.833,1.014,0.628,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.658,0.752,0.000,0.000,1.143,1.762,0.505,0.000,0.000,1.261,0.000,0.000,0.000,0.000,0.000,0.000,0.901,1.083,0.000,0.000,0.000,1.124,0.357,0.000,2.062,0.000,0.310,0.493,1.635,0.000,0.454,0.000,0.000,0.000,0.428,0.510,0.251,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.114,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.171,0.000,1.398,0.162,0.153,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.102,0.613,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.563,0.000,0.000,0.000,0.000,0.000,1.541,0.000,0.000,0.178,0.000,0.418,0.000,0.000,0.329,0.360,0.000,0.364,0.266
5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.559,1.308,2.464,0.788,1.250,2.485,3.343,3.125,0.717,5.570,0.272,0.279,2.797,1.061,4.510,3.958,1.501,2.311,0.920,2.789,7.856,4.930,4.204,2.610,2.564,2.074,2.474,2.391,0.571,3.544,3.352,1.208,1.146,0.871,1.689,0.209,4.641,0.000,0.362,2.332,1.027,0.804,0.321,1.481,0.000,0.000,0.000,0.966,0.658,0.752,1.449,1.370,0.571,0.000,0.000,0.400,0.391,8.824,0.581,1.087,1.205,2.439,0.442,0.000,1.502,3.249,1.977,0.000,0.000,0.000,0.000,0.000,1.031,0.000,0.310,1.970,2.452,0.000,0.454,0.599,0.000,0.932,1.285,0.000,0.501,0.000,0.000,0.000,0.183,0.000,0.871,0.962,0.114,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.563,0.000,0.000,0.000,1.863,0.000,0.765,0.000,0.000,0.000,0.000,0.000,0.000,1.987,0.203,0.409,0.236,0.000,0.221,0.109,0.097,0.339,0.000,0.000,0.000,0.174,0.000,0.103,0.282,0.000,0.000,2.187,0.153,0.673,1.349,2.008,0.000,0.178,0.000,0.209,0.490,0.634,4.613,2.158,4.097,0.000,2.128
6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.156,0.000,0.000,0.000,0.559,5.826,2.912,3.417,1.250,5.207,2.925,6.101,0.896,6.366,3.261,2.793,5.245,2.918,4.902,0.792,5.048,3.782,2.761,3.386,6.056,6.690,3.604,1.260,1.282,3.226,2.083,2.250,1.524,1.266,1.676,4.348,2.675,1.916,3.547,5.021,2.321,4.067,2.899,6.997,1.712,1.877,2.564,3.333,0.205,11.111,7.634,10.628,13.816,10.526,6.522,6.849,12.571,10.573,11.616,11.600,10.547,6.723,6.977,11.957,4.217,10.366,9.735,7.950,3.003,9.386,3.107,4.255,1.493,3.745,5.357,3.780,3.093,4.912,3.096,8.867,4.905,3.636,2.721,2.395,2.299,4.196,2.355,2.806,2.256,3.587,1.050,2.124,4.945,2.273,4.007,0.962,3.185,0.676,0.473,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.709,0.391,1.690,0.542,0.341,0.000,2.019,2.755,0.917,1.964,2.774,0.334,1.553,2.202,0.664,2.078,0.203,1.226,0.354,0.189,0.809,0.545,0.968,0.903,0.099,2.847,0.565,0.608,0.104,0.103,2.535,0.000,0.000,2.187,1.074,1.570,2.697,0.803,1.590,2.317,0.728,1.255,0.490,0.211,2.965,6.115,2.980,1.821,0.798
7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.300,0.000,0.781,0.000,0.000,0.000,0.559,2.854,7.055,1.840,3.750,4.615,3.900,5.357,3.226,5.570,2.446,2.514,5.245,2.122,6.078,8.971,4.229,6.723,3.681,5.578,8.183,10.563,8.258,1.080,8.547,3.687,3.385,4.219,5.333,6.203,1.397,6.039,5.605,5.749,5.405,3.556,6.540,5.024,5.797,9.329,3.767,4.558,3.205,3.333,1.844,4.444,6.870,14.010,13.158,9.023,5.797,13.014,6.286,13.656,9.596,15.600,12.500,10.084,9.302,9.783,13.855,7.927,10.177,13.389,14.114,10.108,9.322,10.993,2.985,9.363,12.143,15.808,13.918,6.316,9.907,12.315,7.902,13.737,6.349,8.583,8.703,7.226,8.565,6.122,4.261,6.502,4.987,6.903,5.861,8.807,7.840,3.571,5.688,4.899,4.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.128,8.984,7.042,5.235,5.973,2.547,2.640,5.511,2.752,3.036,2.648,2.170,9.783,11.658,4.097,4.336,1.119,2.451,1.651,1.512,0.957,1.636,2.517,1.467,1.487,0.495,3.531,1.477,1.454,1.440,0.000,1.408,3.812,2.982,2.607,4.036,5.395,2.811,6.995,5.704,4.126,5.439,4.248,2.748,3.295,2.518,2.421,3.825,4.787
8,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.909,0.943,0.000,1.093,0.000,2.242,1.130,1.149,0.446,0.000,0.493,2.402,2.047,1.563,1.636,0.806,1.528,2.123,3.686,5.375,3.679,3.333,4.852,2.786,5.506,8.423,3.448,7.609,1.397,5.944,3.183,6.667,3.958,6.958,2.731,5.215,15.936,4.910,3.345,1.502,1.170,4.274,4.608,7.292,3.376,6.857,3.291,3.911,8.696,2.930,5.575,6.926,8.996,4.852,5.024,5.072,3.499,7.534,9.115,5.128,7.778,3.279,11.667,16.031,14.010,14.474,11.278,15.942,18.493,14.857,10.132,12.121,8.400,12.109,5.042,12.791,13.587,10.843,13.415,12.389,10.879,11.111,8.664,11.017,6.028,10.149,6.742,11.786,14.777,8.247,12.632,10.836,7.882,12.262,13.535,12.245,12.176,9.524,9.324,6.424,11.735,7.769,4.484,6.299,12.743,8.242,13.068,5.923,7.418,6.030,9.122,9.456,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,20.000,9.220,8.984,4.225,11.011,1.877,1.358,0.932,2.431,4.740,4.643,3.405,1.836,3.416,3.756,5.426,4.246,1.831,4.188,2.123,2.741,1.177,1.854,2.807,1.806,3.865,2.723,1.695,5.039,2.388,1.543,1.690,1.878,8.296,4.374,1.380,5.605,3.276,3.815,3.816,3.743,5.340,4.603,3.268,3.805,2.965,2.698,6.145,4.372,4.255
9,9.524,27.273,20.000,28.571,33.333,25.000,33.333,0.000,0.000,0.000,20.000,16.667,17.647,29.412,7.692,12.500,7.692,22.222,0.000,20.000,22.222,25.000,13.889,40.000,15.385,12.500,8.219,4.301,7.273,4.717,9.821,6.011,0.000,4.036,3.390,6.897,4.018,1.087,10.837,8.709,7.018,6.563,6.544,5.914,5.694,7.374,4.281,4.031,4.993,3.958,1.538,5.153,4.762,4.659,6.631,4.348,3.073,4.545,8.488,6.078,5.805,5.048,9.034,3.067,7.968,3.601,4.930,5.556,1.980,5.983,5.300,6.120,3.938,5.524,6.076,6.983,2.899,4.204,5.226,4.730,7.531,6.751,5.024,6.159,4.082,8.219,10.188,6.090,5.926,3.074,5.000,6.870,7.246,3.947,7.519,7.971,4.795,6.857,8.811,12.121,5.200,6.250,5.462,4.651,9.239,9.036,7.927,12.389,12.134,11.712,7.220,11.582,7.092,10.149,6.367,8.214,10.653,6.701,7.719,8.669,5.911,7.357,5.859,7.029,9.780,8.374,7.925,9.208,6.378,6.266,6.951,7.087,7.788,8.425,6.250,3.659,8.104,4.209,5.068,9.220,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.865,3.906,3.099,3.249,3.413,0.679,0.621,1.783,5.199,2.500,3.026,2.337,3.882,7.513,3.101,1.084,7.223,2.554,4.481,5.671,3.974,0.981,6.776,10.835,5.352,2.847,2.542,2.520,2.596,1.749,5.915,1.408,5.157,4.374,4.294,10.538,4.432,6.627,4.610,6.774,3.398,3.138,6.863,2.960,2.636,8.993,7.821,4.554,1.596
