hour,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
0,0.000,0.000,0.000,0.000,1.796,2.883,3.997,2.354,0.829,0.772,1.955,3.361,9.000,3.775,3.869,3.778,3.532,2.743
1,0.000,0.000,0.000,0.000,0.984,2.072,1.434,1.586,0.393,0.386,0.333,1.083,2.000,2.363,2.737,2.059,1.284,2.743
2,0.000,0.000,0.000,0.000,0.910,1.778,1.740,0.223,0.480,0.290,0.291,0.319,0.000,1.130,1.020,0.992,0.417,0.876
3,0.000,0.000,0.000,0.000,0.886,2.089,1.368,0.198,0.567,0.257,0.291,0.000,0.000,0.539,0.354,0.142,0.321,0.000
4,0.000,0.000,0.000,0.000,1.046,3.263,1.819,0.074,0.524,0.322,0.354,0.064,0.000,0.282,0.081,0.019,0.177,0.267
5,0.000,0.000,0.000,0.000,1.747,3.349,2.098,1.066,1.440,0.966,0.728,0.255,0.000,0.360,0.354,0.113,0.642,2.667
6,0.000,0.000,0.000,0.028,3.187,4.213,2.138,3.569,9.991,5.665,3.744,2.406,2.000,1.130,1.172,0.756,1.268,3.086
7,0.000,0.000,0.000,0.170,3.383,6.302,4.515,4.709,11.344,10.203,9.671,5.703,0.000,4.725,3.758,1.530,4.286,3.276
8,0.000,0.000,0.518,1.334,4.171,5.231,4.529,6.543,11.955,10.332,10.753,8.268,8.000,4.289,3.515,2.465,4.110,4.038
9,19.643,14.789,8.031,5.932,4.737,5.628,4.688,6.196,6.763,9.527,7.945,6.468,8.000,2.645,4.071,3.986,5.266,5.295
10,23.214,17.606,11.140,8.317,5.167,3.557,4.449,5.056,4.494,6.437,6.947,6.803,12.000,3.672,4.576,6.499,6.646,6.095
11,10.714,15.493,12.824,9.339,5.020,4.334,3.997,5.353,2.661,4.120,4.680,4.859,3.000,2.722,8.949,7.198,6.438,5.943
12,10.714,14.085,9.067,9.793,5.598,3.867,3.054,4.907,3.709,3.862,3.661,4.015,2.000,6.703,7.606,4.761,4.993,3.581
13,3.571,4.225,11.788,9.764,5.475,3.833,3.479,4.585,3.229,4.667,3.515,3.887,6.000,6.369,5.737,6.158,4.784,4.495
14,10.714,9.859,14.378,16.236,7.960,5.318,3.758,4.758,2.967,4.216,3.952,5.496,5.000,7.576,7.020,6.621,5.699,3.771
15,1.786,7.042,16.839,17.655,9.375,6.492,5.551,5.006,5.061,5.182,4.264,4.859,6.000,7.242,7.455,6.470,5.025,6.095
16,5.357,11.972,10.363,14.391,10.322,7.303,6.003,5.527,5.061,5.085,4.014,5.417,2.000,5.393,6.828,6.338,6.614,4.610
17,1.786,4.225,3.238,3.349,4.318,3.280,3.599,5.725,4.756,4.538,5.054,4.795,8.000,6.728,5.909,6.735,6.422,7.314
18,5.357,0.000,0.907,0.852,3.236,3.591,4.104,5.799,6.239,4.731,5.096,5.910,12.000,5.958,5.141,5.526,7.915,4.610
19,3.571,0.704,0.389,0.369,3.752,4.126,4.529,3.990,4.494,3.412,4.846,5.066,4.000,4.854,4.626,5.138,5.908,4.990
20,0.000,0.000,0.130,0.454,3.875,4.195,7.663,5.155,3.665,4.216,4.243,4.540,2.000,3.159,3.293,5.563,4.094,5.105
21,1.786,0.000,0.389,0.880,4.909,4.972,7.742,6.840,4.232,4.474,4.243,5.671,2.000,6.908,4.313,6.442,5.169,7.848
22,1.786,0.000,0.000,0.766,5.020,5.456,8.659,6.890,3.490,3.444,5.116,6.022,7.000,6.754,3.424,5.469,4.640,4.952
23,0.000,0.000,0.000,0.369,3.125,2.866,5.086,3.891,1.658,2.897,4.305,4.732,0.000,4.725,4.192,5.242,4.351,5.600
